file_name,cluster,position,industry,company_size,established
job_001.json,0,AIエンジニア,ソフトウェア,不明,不明
job_002.json,0,AIエンジニア,ソフトウェア,101～500人,スタートアップ
job_003.json,0,AIエンジニア,ソフトウェア,101～500人,不明
job_004.json,0,AIエンジニア,ソフトウェア,不明,不明
job_005.json,0,AIコンサルタント,コンサルティング,101～500人,スタートアップ
job_006.json,0,AIソリューションエンジニア,ソフトウェア,101～500人,不明
job_007.json,0,プロジェクトマネージャー,ソフトウェア,101～500人,不明
job_008.json,0,DX AIエンジニア,インターネットサービス,501～1000人,不明
job_009.json,1,アプリ開発エンジニア,ソフトウェア,101～500人,不明
job_010.json,0,Generative AIエンジニア,ソフトウェア,不明,不明
job_011.json,2,LLMエンジニア,ソフトウェア,101～500人,不明
job_012.json,2,LLMエンジニア,ソフトウェア,101～500人,不明
job_013.json,2,MLOpsエンジニア,ソフトウェア,101～500人,不明
job_014.json,2,NLP LLMエンジニア,ソフトウェア,501～1000人,創立30年以上
job_015.json,2,Research engineer,ソフトウェア,不明,スタートアップ
job_016.json,2,Research Scientist（LLM評価）,ソフトウェア,31～100人,スタートアップ
job_017.json,1,Shopifyエンジニア,ソフトウェア,101～500人,創立30年以上
job_018.json,0,UIUXエンジニア,ソフトウェア,101～500人,創立30年以上
job_019.json,1,エンジニア,自動車,101～500人,創立30年以上
job_020.json,1,オフショアチームリーダー,ソフトウェア,101～500人,不明
job_021.json,0,カスタマーサクセスマネージャー,ソフトウェア,101～500人,不明
job_022.json,0,キャリアアドバイザー,コンサルティング,31～100人,スタートアップ
job_023.json,1,グローバルマーケティング責任者,エンターテイメント,不明,不明
job_024.json,1,シニアソフトウェア開発エンジニア,ソフトウェア,501～1000人,不明
job_025.json,1,ソフトウェアエンジニア,フィンテック,101～500人,創立30年以上
job_026.json,2,フルスタックエンジニア,ソフトウェア,不明,不明
job_027.json,1,プロジェクトマネージャー,インターネットサービス,1000人以上,創立30年以上
job_028.json,1,プロダクトデザインエンジニア,ソフトウェア,101～500人,創立30年以上
job_029.json,2,プロンプトエンジニア,ソフトウェア,不明,不明
job_030.json,0,プロンプトエンジニア,ソフトウェア,101～500人,創立30年以上
job_031.json,2,基盤モデルアプリケーションエンジニア,ソフトウェア,不明,不明
job_032.json,2,大規模言語モデルエンジニア,ソフトウェア,不明,不明
job_033.json,2,大規模言語モデルエンジニア,ソフトウェア,不明,不明
job_034.json,1,新規事業開発マネージャー,ビジネスクリエイティブ,不明,不明
job_035.json,1,機器開発エンジニア,宇宙関連,31～100人,創立30年以上
job_036.json,2,機械学習エンジニア,コンサルティング,101～500人,スタートアップ
job_037.json,0,生成AIエンジニア,ソフトウェア,不明,不明
job_038.json,0,生成AIコンサルタント,コンサルティング,101～500人,不明
job_039.json,2,研究サイエンティスト（生成AI）,ソフトウェア,不明,不明
job_040.json,0,研究開発メンバー,ソフトウェア,不明,不明
job_041.json,1,編集長／副編集長／プロンプトエンジニア,インターネットサービス,101～500人,創立30年以上
job_042.json,2,自然言語処理エンジニア,ソフトウェア,101～500人,創立30年以上
job_043.json,2,自然言語処理エンジニア,ソフトウェア,101～500人,不明
job_044.json,1,装置開発ソフトウェアエンジニア,ソフトウェア,101～500人,創立30年以上
job_045.json,1,開発責任者,ドローン技術,501～1000人,創立30年以上
job_046.json,1,データサイエンティスト,通信・キャリア,501〜5000人,不明
job_047.json,0,データサイエンティスト／生成AIエンジニア,通信・キャリア,501〜5000人,不明
job_048.json,0,生成AIエンジニア,自動車,1000人以上,創立30年以上
job_049.json,0,画像生成AIエンジニア,インターネットサービス,101～500人,創立30年以上
job_050.json,0,生成AIエンジニア,外食,5001人以上,1982年
job_051.json,0,生成AIソフトウェアエンジニア,コンサルティング・ソフトウェア,1000人以上,不明
job_052.json,0,生成AIエンジニア,ソフトウエア,1000人以上,創立30年以上
job_053.json,0,生成AIエンジニア,ソフトウェア／コンサルティング,5001人以上,不明
job_054.json,0,生成AIエンジニア,自動車,1〜30人,不明
job_055.json,0,生成AIエンジニア,コンサルティング,501〜5000人,創立30年以上
job_056.json,0,生成AIソフトウェアエンジニア,インターネットサービス,501〜5000人,1997年
job_057.json,0,データサイエンティスト,インターネットサービス,不明,スタートアップ
job_058.json,0,生成AIエンジニア,ソフトウェア,101～500人,創立30年以上
job_059.json,0,生成AIエンジニア,自動車,5001人以上,創立30年以上
job_060.json,0,生成AIエンジニア,自動車,5001人以上,創立30年以上
job_061.json,0,生成AIエンジニア,インターネットサービス,不明,不明
job_062.json,1,データベースエンジニア,通信・キャリア,1000人以上,不明
job_063.json,0,生成AIソフトウェアエンジニア,ソフトウェア,501〜5000人,不明
job_064.json,0,生成AIエンジニア,ソフトウエア・コンサルティング,1000人以上,不明
job_065.json,0,生成AI基盤開発エンジニア,自動車,1000人以上,創立30年以上
job_066.json,0,生成AIエンジニア,ソフトウェア・インターネットサービス,501〜5000人,不明
job_067.json,0,生成AIエンジニア,ロボティクス・自動化,31～100人,スタートアップ
job_068.json,0,生成AIエンジニア,コンサルティング,501〜5000人,創立30年以上
job_069.json,0,生成AIエンジニア,デジタルマーケティング,1000人以上,不明
job_070.json,0,生成AIエンジニア,インターネットサービス,不明,スタートアップ
job_071.json,0,Senior生成AIエンジニア,ソフトウエア,不明,スタートアップ
job_072.json,0,生成AIエンジニア,コンサルティング,不明,不明
job_073.json,0,生成AIエンジニア,ソフトウェア,不明,スタートアップ
job_074.json,0,生成AIエンジニア,ソフトウェア,1000人以上,創立30年以上
job_075.json,0,生成AIエンジニア：テックリード,ソフトウェア・コンサルティング,5001人以上,不明
job_076.json,0,生成AIエンジニア,インターネットサービス,31～100人,スタートアップ
job_077.json,0,生成AIエンジニア（リーダー候補）,ソフトウェア,1000人以上,スタートアップ
job_078.json,0,生成AIエンジニア,SIer,不明,不明
job_079.json,0,生成AIエンジニア,半導体,不明,不明
